Файл:prof18_09_31_075_812.41005 - пустой, пропускаю
Файл:prof18_09_59_058_812.21290 - пустой, пропускаю
Файл:prof18_11_33_100_812.41236 - пустой, пропускаю
Файл:prof18_17_04_073_812.41871 - пустой, пропускаю
Файл:prof18_22_38_070_812.42588 - пустой, пропускаю
Файл:prof18_26_34_095_812.51259 - пустой, пропускаю
Файл:prof18_27_12_023_812.43198 - пустой, пропускаю
Файл:prof18_27_58_055_812.43252 - пустой, пропускаю
Файл:prof18_28_52_088_812.118492 - пустой, пропускаю
Файл:prof18_29_03_032_812.43366 - пустой, пропускаю
Файл:prof18_32_53_020_812.24419 - пустой, пропускаю
Файл:prof18_34_27_095_812.24652 - пустой, пропускаю
Файл:prof18_38_13_080_812.44653 - пустой, пропускаю
Файл:prof18_38_31_067_812.44685 - пустой, пропускаю
Файл:prof18_44_11_101_812.45404 - пустой, пропускаю
Файл:prof18_49_50_061_812.26639 - пустой, пропускаю
Файл:prof19_01_17_116_812.47485 - пустой, пропускаю
Файл:prof19_06_13_025_812.8849 - время обработки 70 пакетов (документов: 1541918): 02:09:09.073, сброс в БД: 01:17:29.211 (59 % от общего времени)
Файл:prof19_06_17_052_812.112474 - время обработки 90 пакетов (документов: 1875264): 02:42:25.871, сброс в БД: 01:36:16.131 (59 % от общего времени)
Файл:prof19_06_17_056_812.112487 - время обработки 170 пакетов (документов: 1984109): 02:45:17.724, сброс в БД: 01:40:28.694 (60 % от общего времени)
Файл:prof19_06_17_061_812.112518 - время обработки 40 пакетов (документов: 1745516): 02:27:17.297, сброс в БД: 01:28:22.311 (59 % от общего времени)
Файл:prof19_06_20_079_812.9034 - время обработки 50 пакетов (документов: 1502864): 02:06:47.894, сброс в БД: 01:16:20.262 (60 % от общего времени)
Файл:prof19_06_23_095_812.112638 - время обработки 120 пакетов (документов: 2299523): 03:07:21.781, сброс в БД: 01:54:38.861 (61 % от общего времени)
Файл:prof19_06_26_110_812.112751 - время обработки 90 пакетов (документов: 1986014): 02:48:00.394, сброс в БД: 01:39:56.113 (59 % от общего времени)
Файл:prof19_06_28_123_812.112481 - время обработки 110 пакетов (документов: 1994587): 02:45:54.424, сброс в БД: 01:39:43.088 (60 % от общего времени)
Файл:prof19_07_47_036_812.29185 - пустой, пропускаю
Файл:prof19_09_55_030_812.29419 - пустой, пропускаю
Файл:prof19_16_42_061_812.49358 - пустой, пропускаю
Файл:prof19_16_58_017_812.49381 - пустой, пропускаю
Файл:prof19_23_10_086_812.58487 - пустой, пропускаю
Файл:prof19_28_23_074_812.31789 - пустой, пропускаю
Файл:prof19_40_56_026_812.60694 - пустой, пропускаю
Файл:prof19_57_50_059_812.62758 - пустой, пропускаю
